EID,First,Last,DOB,Sex,Relationship,Student,Disabled,Tobacco User
9730,Bruce,Edwards,1996-02-16,F,Spouse,N,N,Y
3596,Breanna,Shaw,2023-06-08,F,Child,Y,N,Y
3040,Amanda,Brown,2011-09-13,F,Child,N,Y,Y
9563,Christopher,Lopez,2014-08-31,M,Spouse,N,Y,Y
6035,Carlos,Hensley,2008-02-27,M,Child,N,N,N
2194,David,Zamora,2002-10-18,F,Spouse,Y,N,N
7987,Beth,Williams,1997-03-17,M,Child,N,Y,N
9558,Robert,Silva,2012-03-16,F,Child,N,Y,N
3066,Leslie,Green,2017-03-17,M,Child,N,N,Y
4511,Jennifer,Allen,2007-11-20,F,Child,N,Y,N
6835,David,Brewer,2009-12-23,M,Spouse,N,Y,Y
9639,Leslie,Walton,1996-11-20,F,Spouse,N,Y,Y
